@relation data
@attribute Var153 numeric
@attribute Var211 numeric
@attribute Var218 numeric
@attribute appetency numeric
@data
1812252,1,1,-1
10439160,1,1.4655,-1
9826360,1,2,-1
5562657.69896,2,2,-1
644836,1,2,-1
745620,1,2,-1
2345424,2,2,-1
10577000,2,2,-1
10405680,1,1.4655,-1
7608840,1,2,-1
28704,1,2,-1
613124,1,2,-1
5562657.69896,1,1,-1
5710720,1,1,-1
10297360,1,1,-1
17016,1,1,-1
9025240,1,2,-1
982036,1,2,-1
2898024,1,2,-1
2807668,1,2,-1
10535080,2,2,-1
9669040,1,2,-1
637640,1,2,-1
9935600,1,2,-1
4009000,1,1,-1
10452560,1,1,-1
5562657.69896,2,2,-1
453400,1,2,-1
5562657.69896,1,1,-1
489120,1,1,-1
2092448,1,1,-1
1808548,1,1,-1
10307960,1,2,-1
10532560,1,2,-1
1404632,1,1,-1
5562657.69896,1,1,-1
625276,1,1,-1
2755452,1,2,-1
1904140,1,2,-1
5694560,2,1,-1
3116564,1,2,-1
102572,1,1,-1
5562657.69896,2,1,-1
648444,1,2,-1
5562657.69896,2,1,-1
1009760,2,2,-1
10522640,1,2,-1
5562657.69896,1,2,-1
2744736,1,2,-1
5562657.69896,1,1,-1
9682400,1,1,-1
503740,1,1,-1
9522760,1,1,-1
10413880,2,2,-1
10398360,1,2,-1
10721200,1,1,-1
452880,1,1,-1
10611720,2,2,1
11330200,1,1,-1
10169880,1,1,-1
10142760,1,1,-1
897896,1,1,-1
10256920,1,1,-1
8486280,1,1,-1
9534040,2,2,-1
1094224,1,1,-1
10454400,1,2,-1
171732,1,2,-1
10552000,1,1,-1
5562657.69896,1,2,-1
10671160,1,1,-1
5562657.69896,1,2,1
10374760,1,2,-1
10862920,1,1,-1
9275920,1,2,-1
5562657.69896,1,1,-1
199676,1,2,-1
7929840,1,1,-1
4362920,1,1,-1
936560,1,2,-1
8131120,1,2,-1
10781000,1,1,-1
1008516,1,2,-1
5562657.69896,1,1,-1
9269520,2,2,-1
1659444,1,2,-1
5562657.69896,1,1,-1
10508240,1,1,-1
10621280,1,2,-1
5562657.69896,1,1,-1
7901600,2,1,-1
2812344,1,1,-1
9246920,2,2,-1
10319920,1,1,-1
3260692,1,2,-1
10538480,1,2,-1
332616,1,1,-1
10240040,1,2,-1
10179800,1,2,-1
10039840,1,1,-1
10533280,2,1,-1
5562657.69896,2,1,-1
258724,1,1,-1
962180,1,2,-1
10506480,1,2,-1
9457120,1,2,-1
10537360,1,2,-1
10705720,1,2,-1
8720000,1,2,-1
5562657.69896,2,1,-1
3330736,1,1,-1
