@relation data
@attribute Var81 numeric
@attribute Var113 numeric
@attribute Var126 numeric
@attribute Var193 numeric
@attribute Var207 numeric
@attribute Var218 numeric
@attribute churn numeric
@data
7333.11,117625.6,8,38,10,1,-1
151098.9,-356411.6,-0.39968,38,10,1.4655,1
16211.58,405104,-28,7,6,2,-1
91685.018146058,-275703.6,-14,38,10,2,-1
37423.5,10714.84,58,38,10,2,-1
11370.72,369814,-0.39968,2,6,2,-1
31655.4,-808528,-24,2,10,2,-1
402441,101923.6,-8,38,10,2,-1
117761.7,161314.4,-0.39968,38,9,1.4655,-1
149686.5,842480,-0.39968,2,10,2,-1
2739.141,-4831.72,58,16,5,2,-1
9885.09,67166.4,52,38,10,2,-1
34917,-45625.2,10,32,5,1,-1
19991.43,-179277.6,-0.39968,38,10,1,-1
32325.3,357684.4,8,38,10,1,-1
1691.829,-2135.144,-0.39968,2,10,1,-1
25544.49,-9852,-0.39968,32,5,2,-1
30019.2,-35706.72,-0.39968,7,5,2,-1
232930.5,-514956,4,38,10,2,-1
46263.9,64737.2,-0.39968,38,10,2,1
177741.3,91102,-8,38,10,2,-1
556521,409376,-10,38,10,2,-1
10731.84,-134694.4,36,38,10,2,-1
192866.7,202718,12,38,10,2,1
57765.3,299721.6,-0.39968,38,10,1,-1
155352.6,92466,-0.39968,38,6,1,-1
91685.018146058,-1476524,-16,38,10,2,-1
3849,-102479.2,32,38,10,2,-1
81690.3,-193827.6,-0.39968,2,10,1,-1
4932.45,17125.72,-4,38,10,1,-1
48747,88383.6,-0.39968,38,10,1,-1
265433.7,-797660,-0.39968,37,5,1,-1
220966.2,130967.2,-0.39968,38,10,2,-1
184626,110152,-28,38,10,2,-1
5657.07,31352.44,22,38,10,1,-1
91685.018146058,-232682.8,4,38,5,1,-1
3181.44,56047.2,4,38,6,1,-1
21753.57,-533940,-30,7,9,2,-1
90485.41,-784240,14,38,10,2,1
61934.1,59592.4,-24,7,8,1,1
24024.84,74015.6,44,38,10,2,-1
2852.838,4070.84,22,38,5,1,-1
91685.018146058,-1445444,-18,38,6,1,-1
11241.96,-838228,4,38,6,2,-1
152440.2,-99980.8,-20,38,10,1,-1
189330,-930600,-12,38,10,2,-1
154308.6,156958,42,38,10,2,-1
174296.1,-153278.608486739,4,38,10,2,-1
41304.6,1326872,-0.39968,2,10,2,1
91685.018146058,-27164.56,-0.39968,38,10,1,-1
200043.3,203009.2,-0.39968,38,10,1,-1
4593.57,-1575292,-0.39968,37,5,1,1
154713.3,73289.2,4,38,10,1,-1
60240.9,91308,-22,38,10,2,-1
240705,94712.8,4,38,10,2,-1
179573.4,123549.2,-0.39968,38,9,1,-1
3553.89,-12328.36,40,38,10,1,-1
109280.7,98324.8,-20,38,9,2,-1
146699.7,85197.2,4,38,10,1,-1
131823.9,31176.44,30,26,5,1,-1
223918.8,142417.2,6,2,10,1,-1
22226.88,58762.8,24,38,9,1,-1
144453,145049.6,6,38,10,1,-1
379398,61957.6,-0.39968,38,6,1,-1
19654.26,-29723.72,-20,38,10,2,-1
9088.35,7585.56,28,38,5,1,-1
219611.4,102726,-0.39968,2,10,2,-1
3520.5,-344.8572,-0.39968,2,10,2,-1
6597.96,115961.6,-0.39968,37,5,1,-1
91685.018146058,-153278.608486739,60,38,10,2,-1
158631.6,164940,-0.39968,38,6,1,-1
91685.018146058,-520268,4,38,10,2,-1
