@relation data
@attribute Var3 numeric
@attribute Var24 numeric
@attribute Var62 numeric
@attribute Var73 numeric
@attribute Var113 numeric
@attribute Var147 numeric
@attribute Var210 numeric
@attribute Var214 numeric
@attribute Var216 numeric
@attribute Var217 numeric
@attribute Var219 numeric
@attribute Var223 numeric
@attribute Var229 numeric
@attribute upselling numeric
@data
10.5474,14,0.05688,36,117625.6,0.0506,6,3765.55442,1845,10636,12,2,0.6312,-1
10.5474,2,0.05688,26,-356411.6,0.0506,6,3765.55442,1016,6807.2223,12,3,0.6312,-1
10.5474,26,0.05688,130,405104,0.0506,6,12340,1430,3111,12,2,1,-1
10.5474,3.85608,0.05688,12,-275703.6,0.0506,6,3765.55442,786,4501,12,3,0.6312,-1
10.5474,4,0.05688,82,10714.84,0.0506,6,11785,78,5708,12,3,2,-1
10.5474,2,0.05688,126,369814,0.0506,6,3765.55442,1650,13340,12,3,1,-1
10.5474,4,0.05688,114,-808528,0.0506,6,11441,78,8638,12,3,1,-1
10.5474,2,0.05688,18,101923.6,0.0506,6,3765.55442,240,2355,10.97706,2.60132,0.6312,-1
10.5474,2,0.05688,72,161314.4,0.0506,2,14608,877,6807.2223,12,2,1,-1
10.5474,2,0.05688,114,842480,0.0506,6,7179,560,2956,12,3,0.6312,-1
10.5474,6,0.05688,128,-4831.72,0.0506,6,12703,388,11663,12,3,2,-1
10.5474,8,0.05688,76,67166.4,0.0506,6,311,218,13301,19,3,0.6312,-1
10.5474,3.85608,0.05688,148,-45625.2,0.0506,4,5491,498,12936,12,3,2,-1
10.5474,10,0.05688,48,-179277.6,0.0506,6,1840,1073,13760,12,3,0.6312,-1
10.5474,3.85608,0.05688,34,357684.4,0.0506,6,3765.55442,996,7225,12,3,0.6312,1
10.5474,3.85608,0.05688,132,-2135.144,0.0506,6,2833,560,248,12,3,3,-1
10.5474,6,0.05688,158,-9852,0.0506,6,12625,1845,871,12,2,1,-1
10.5474,2,0.05688,140,-35706.72,0.0506,6,3765.55442,1413,4592,9,3,1,-1
10.5474,2,0.05688,66,-514956,0.0506,6,6425,1231,7364,19,2,0.6312,-1
10.5474,2,0.05688,38,64737.2,0.0506,6,3765.55442,140,5598,12,3,0.6312,-1
10.5474,2,0.05688,16,91102,0.0506,6,3765.55442,217,3343,12,3,0.6312,-1
10.5474,2,0.05688,16,409376,0.0506,6,3765.55442,146,9057,10.97706,2.60132,0.6312,-1
10.5474,2,0.05688,60,-134694.4,0.0506,6,6627,1077,4678,12,3,2,-1
10.5474,3.85608,0.05688,36,202718,0.0506,6,3765.55442,1077,6494,12,2,0.6312,-1
10.5474,8,0.05688,96,299721.6,0.0506,6,10528,560,2585,12,2,0.6312,1
10.5474,4,0.05688,34,92466,0.0506,6,3765.55442,1928,12552,12,3,0.6312,1
10.5474,3.85608,0.05688,8,-1476524,0.0506,6,3765.55442,240,5272,10.97706,2.60132,0.6312,-1
10.5474,6,0.05688,98,-102479.2,0.0506,6,5518,772,11414,12,3,2,-1
10.5474,3.85608,0.05688,144,-193827.6,0.0506,4,10718,1845,3049,10.97706,2.60132,1,-1
10.5474,3.85608,0.05688,20,17125.72,0.0506,6,3765.55442,146,12457,12,3,0.6312,1
10.5474,4,0.05688,88,88383.6,0.0506,6,4226,1077,6479,12,3,2,-1
10.5474,3.85608,0.05688,168,-797660,0.0506,6,3013,118,5437,12,3,2,-1
