@relation data
@attribute Var34 numeric
@attribute Var64 numeric
@attribute Var67 numeric
@attribute Var92 numeric
@attribute Var102 numeric
@attribute Var136 numeric
@attribute Var162 numeric
@attribute Var171 numeric
@attribute Var218 numeric
@attribute appetency numeric
@data
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,?,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,?,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,993798,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,78417.54,?,?,461841.3,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,87799,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,1,-1
?,?,?,?,?,?,?,?,2,-1
?,?,?,?,?,?,?,?,2,-1
