@relation data-weka.filters.unsupervised.attribute.NumericToNominal-R13-17-weka.filters.supervised.instance.Resample-B1.0-S1-Z75.0-weka.filters.supervised.instance.Resample-B1.0-S1-Z25.0

@attribute Var12 numeric
@attribute Var19 numeric
@attribute Var53 numeric
@attribute Var87 numeric
@attribute Var111 numeric
@attribute Var113 numeric
@attribute Var126 numeric
@attribute Var130 numeric
@attribute Var131 numeric
@attribute Var139 numeric
@attribute Var161 numeric
@attribute Var188 numeric
@attribute Var193 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51}
@attribute Var203 {1,2,3,4,5}
@attribute Var207 {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute Var218 {1,2}
@attribute churn {-1,1}

@data
?,?,?,?,?,-157169.2,4,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,148892,42,?,?,?,?,?,2,1,10,1,-1
?,?,?,?,?,87079.2,?,?,?,?,?,?,38,1,6,2,-1
?,?,?,?,?,-140843.6,-22,?,?,?,?,?,38,1,6,1,1
?,?,?,?,?,-978296,?,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,-146989.2,-30,?,?,?,?,?,2,1,6,1,-1
?,?,?,?,?,-19659.16,40,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,113645.2,?,?,?,?,?,?,38,1,10,?,1
?,?,?,?,?,69033.6,-6,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,152100.8,30,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,252684,20,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,0,?,?,?,?,?,?,38,4,10,1,1
?,?,?,?,?,215686,12,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,940014,-1130396,4,?,?,882406,?,?,38,1,10,1,1
?,?,?,?,?,53640,32,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,-260547.6,4,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,-2894.144,?,?,?,?,?,?,2,1,10,2,-1
?,?,?,?,?,180740.8,4,?,?,?,?,?,7,1,8,1,1
?,?,?,?,?,45674,4,?,?,?,?,?,38,1,6,1,-1
?,?,?,?,?,109946,14,?,?,?,?,?,7,1,6,1,-1
?,?,?,?,?,42863.6,4,?,?,0,?,?,38,1,5,2,-1
?,?,?,?,?,-294201.6,?,?,?,?,?,?,2,1,10,2,-1
?,?,?,?,?,-190712.8,24,?,?,?,?,?,7,1,8,1,1
?,?,?,?,?,-2483424,4,?,?,?,?,?,38,1,9,2,1
?,?,?,?,?,-227969.6,4,?,?,?,?,?,7,1,8,2,-1
?,?,?,?,?,225723.6,12,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,-80328,6,?,?,?,?,?,14,1,8,1,-1
?,?,?,?,?,-1695496,?,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-50511.6,?,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,0,28,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,48351.2,?,?,?,?,?,?,38,1,6,2,-1
?,?,?,?,?,59534.4,40,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,19589.16,36,?,?,?,?,?,38,1,9,1,-1
?,?,?,?,?,-44898.4,30,?,?,?,?,?,7,1,8,2,1
?,?,?,?,?,1290596,30,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-210940,?,?,?,?,?,?,32,1,3,2,-1
?,?,?,?,?,-332744.8,?,?,?,?,?,?,38,1,10,2,1
?,0,?,?,?,-1835436,4,?,?,?,0,?,38,1,10,2,1
?,?,?,?,?,7296,24,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,356941.2,?,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,10338.72,34,?,?,?,?,?,38,1,6,1,1
?,?,?,?,?,345176,?,?,?,?,?,?,38,3,10,1,1
?,?,?,?,?,178108.4,4,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,259592.4,42,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,176683.6,4,?,?,?,?,?,13,1,9,1,1
?,?,?,?,?,178594,-22,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,119277.6,36,?,?,?,?,?,14,1,2,2,-1
?,0,?,?,?,-1029352,4,?,?,?,0,?,38,1,10,2,1
?,?,?,?,?,93860.4,20,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,136934.8,40,?,?,?,?,?,38,1,6,1,-1
?,?,?,?,?,134519.2,30,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,-391629.6,4,?,?,?,?,?,38,1,10,1,1
16,?,1389555,0,?,-2317304,-20,?,0,?,?,?,38,1,10,2,1
?,?,?,?,?,156107.2,20,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,378822.4,-30,?,?,?,?,?,2,1,10,2,-1
?,?,?,?,?,91483.2,4,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,1760804,-6,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,470208,50,?,?,?,?,?,45,1,6,2,-1
?,?,?,?,?,-1028372,-24,?,?,?,?,?,10,1,5,2,1
?,?,0,0,?,-1514056,-8,?,0,?,?,?,38,1,10,2,1
0,?,1240389,7,?,-2609680,?,?,418728,?,?,?,38,1,10,1,1
?,?,?,?,?,284096.8,4,?,?,?,?,?,38,1,10,1,1
0,?,777600,7,?,-3752064,-20,?,0,?,?,?,38,1,10,2,1
?,?,?,?,?,48338.4,48,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,-809644,-14,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-19177.16,34,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,780564,?,?,?,?,?,?,38,4,5,1,-1
?,?,?,?,?,-401616,?,?,?,?,?,?,2,1,10,2,-1
?,?,?,?,?,-390618.8,?,?,?,?,?,?,2,4,10,2,-1
?,?,?,?,?,1775468,?,?,?,?,?,?,38,1,10,?,1
?,?,?,?,?,321823.6,-8,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-181522.8,4,?,?,?,?,?,7,1,5,1,1
?,?,?,?,?,-58305.6,?,?,?,?,?,?,38,1,10,2,1
?,9,?,?,?,-451528,-22,?,?,?,9,?,38,1,5,2,1
?,?,?,?,?,-61519.2,4,?,?,?,?,?,38,3,10,1,1
?,?,?,?,?,306490.4,4,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,413072,4,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,198037.6,?,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-36374,?,?,?,?,?,?,14,1,8,1,-1
?,?,?,?,?,-613904,-20,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,-3142796,4,?,?,?,?,?,38,1,5,2,1
?,?,?,?,?,-123288,6,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,28570.4,?,?,?,?,?,?,42,1,5,2,-1
?,?,?,?,?,194358,?,?,?,?,?,?,2,1,10,2,-1
?,?,?,?,?,-194692,?,?,?,?,?,?,2,1,10,1,-1
?,?,?,?,?,491416,?,?,?,?,?,?,38,1,9,1,-1
?,?,?,?,?,-394282.8,-8,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,80436.8,-4,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-545360,4,?,?,?,?,?,38,1,10,?,1
?,?,?,?,?,-263564.4,?,?,?,?,?,?,38,4,10,2,1
?,?,?,?,412208.4,-932288,4,?,?,141584,?,?,38,1,6,1,-1
?,?,?,?,?,-319275.6,14,?,?,?,?,?,38,1,6,1,-1
?,?,?,?,?,-8880.28,?,?,?,?,?,?,38,1,6,1,1
?,?,?,?,?,77540.4,-18,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,0,8,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,150829.6,4,?,?,?,?,?,7,1,11,1,-1
?,?,?,?,?,-48644.8,-22,?,?,0,?,?,38,1,5,2,-1
