@relation data-weka.filters.unsupervised.attribute.NumericToNominal-R13-17-weka.filters.supervised.instance.Resample-B1.0-S1-Z75.0

@attribute Var12 numeric
@attribute Var19 numeric
@attribute Var53 numeric
@attribute Var87 numeric
@attribute Var111 numeric
@attribute Var113 numeric
@attribute Var126 numeric
@attribute Var130 numeric
@attribute Var131 numeric
@attribute Var139 numeric
@attribute Var161 numeric
@attribute Var188 numeric
@attribute Var193 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51}
@attribute Var203 {1,2,3,4,5}
@attribute Var207 {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute Var218 {1,2}
@attribute churn {-1,1}

@data
?,?,?,?,?,-33280.84,4,?,?,?,?,?,7,1,8,1,-1
?,?,?,?,?,-31958,?,0,?,?,?,5.04,38,1,10,1,-1
?,?,?,?,?,66965.6,-18,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,-5674.44,?,?,?,?,?,?,2,1,5,1,1
?,?,?,?,?,114665.2,?,?,?,?,?,?,2,1,10,1,1
?,?,?,?,?,161856,?,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,138022,4,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,153376.8,10,?,?,?,?,?,38,1,9,1,1
?,?,?,?,?,-232804.8,-6,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,75876.4,-22,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,270915.2,?,?,?,?,?,?,2,1,11,2,1
?,?,?,?,?,71039.2,?,?,?,?,?,?,2,1,10,1,1
?,?,?,?,?,39263.16,?,?,?,?,?,?,18,1,8,2,-1
?,?,?,?,?,-462560,4,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,3369908,4,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,60119.2,?,?,?,?,?,?,38,1,5,1,-1
?,?,?,?,?,302558.8,18,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,80018.4,?,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,67140.8,34,?,?,?,?,?,38,1,5,1,-1
?,?,?,?,?,203294,?,?,?,?,?,?,38,1,9,1,-1
?,?,?,?,?,95860.4,8,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,-895100,4,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,140318.4,4,?,?,?,?,?,16,1,5,1,1
?,?,?,?,?,339194.4,-28,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,-1740220,-18,3,?,?,?,267.6,38,1,10,1,-1
?,?,?,?,?,31457,68,?,?,?,?,?,4,1,5,2,-1
?,?,?,?,?,-7238.84,22,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,-258411.6,?,?,?,?,?,?,38,4,9,1,1
?,?,?,?,?,-11544.16,?,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,308776,-22,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,152158.4,-30,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,110751.6,4,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,257661.6,-22,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,274776,?,?,?,?,?,?,2,1,10,2,1
?,?,?,?,?,2289.572,?,?,?,?,?,?,2,1,10,1,1
?,?,?,?,?,309251.6,4,?,?,?,?,?,7,1,8,1,-1
?,?,?,?,?,748904,4,?,?,?,?,?,38,4,10,2,1
?,?,?,?,?,-1014.716,?,?,?,?,?,?,2,1,10,2,1
?,?,?,?,?,23026.56,?,?,?,?,?,?,38,3,10,2,1
?,?,?,?,?,126030,-20,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,65644.4,?,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,456168,?,?,?,?,?,?,38,4,10,?,1
?,?,?,?,?,-296489.6,-20,?,?,?,?,?,9,1,5,2,1
?,?,?,?,?,-5977.16,-8,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-546112,-8,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,260796.4,?,?,?,?,?,?,1,1,5,2,-1
?,?,?,?,?,117784,-30,?,?,?,?,?,38,1,9,1,-1
?,?,?,?,?,-1139048,4,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,334591.2,-22,?,?,?,?,?,2,1,10,2,1
?,?,?,?,?,166626,?,?,?,?,?,?,37,1,5,2,-1
?,?,?,?,?,45159.6,?,?,?,?,?,?,2,?,5,2,-1
?,?,?,?,?,63401.2,-10,?,?,?,?,?,38,1,10,?,1
?,?,?,?,?,-131134,4,?,?,?,?,?,38,1,5,1,1
?,?,?,?,?,33569.84,?,?,?,?,?,?,2,1,10,2,1
?,?,?,?,?,137665.2,-28,?,?,?,?,?,2,1,5,1,-1
?,?,?,?,?,63756.4,4,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,-436800,4,?,?,?,?,?,38,3,10,2,1
?,?,?,?,?,-1604952,-30,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,732808,4,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-221651.6,4,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-41240,28,?,?,?,?,?,38,1,9,2,1
?,?,?,?,?,-275567.6,-8,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-538656,4,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,295249.6,4,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,248862.4,?,?,?,?,?,?,38,4,10,1,1
?,?,?,?,?,388768,?,?,?,?,?,?,2,4,11,1,1
?,?,?,?,?,-533860,-26,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,10215.84,32,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,743784,4,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,-341063.6,30,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,59900,?,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,282770.4,-8,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,35648.56,-10,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-16911.16,?,?,?,?,?,?,2,1,10,2,1
?,?,?,?,?,233569.6,36,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,174563.6,?,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,156130,4,?,?,?,?,?,38,1,10,2,-1
?,0,?,?,?,-39233.2,-18,?,?,?,0,?,38,1,10,1,1
?,?,?,?,?,942944,-12,?,?,?,?,?,2,1,5,1,-1
?,?,?,?,?,-370013.6,56,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,-90806.4,-30,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-1189900,?,3,?,?,?,267.72,38,1,10,1,-1
?,?,?,?,?,-1379648,22,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,-377090,44,?,?,?,?,?,16,1,5,1,-1
?,?,?,?,?,-290542.8,?,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,20164.8,?,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,2911116,?,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,-3826664,-18,0,?,?,?,229.44,38,1,10,2,1
?,?,?,?,?,784160,?,?,?,?,?,?,2,1,10,2,1
?,?,?,?,?,-367430,4,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,65587.2,14,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,-775228,4,?,?,?,?,?,38,1,5,1,-1
?,?,?,?,?,24076.56,?,?,?,?,?,?,2,4,10,2,1
?,?,?,?,?,114065.6,?,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,-931668,-8,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-297532.4,-24,?,?,?,?,?,38,1,10,2,-1
?,0,?,?,?,-909884,-16,?,?,?,0,?,38,1,10,2,-1
?,?,?,?,?,930552,4,?,?,?,?,?,38,1,10,?,1
?,?,?,?,?,-303623.6,4,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,869520,-18,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-1784700,-22,?,?,?,?,?,2,4,10,1,-1
?,?,?,?,?,86382.8,4,?,?,?,?,?,38,3,10,2,-1
?,?,?,?,?,853488,?,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,149822.4,?,?,?,?,?,?,2,1,10,2,-1
?,?,?,?,?,550436,6,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,93860.4,20,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,-701088,-12,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,1159412,?,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,177714.8,?,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,265619.2,?,?,?,?,?,?,2,4,11,2,-1
?,?,?,?,?,0,?,?,?,?,?,?,38,1,9,2,1
?,?,?,?,?,853488,?,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,-145710.4,?,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,518400,-1293252,4,?,?,0,?,?,38,1,10,1,1
?,?,?,?,?,-197331.6,?,?,?,?,?,?,2,4,10,2,-1
?,?,?,?,?,139043.6,?,?,?,?,?,?,7,1,11,1,1
?,?,?,?,?,-2819.144,16,?,?,?,?,?,38,1,9,1,-1
?,?,?,?,?,-1699448,-20,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,-230372,32,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,154084.4,?,?,?,?,?,?,38,3,10,2,-1
?,?,?,?,?,-977232,?,?,?,?,?,?,38,1,10,1,-1
?,?,?,?,?,73836,4,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,2269.716,4,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,361053.6,32,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,17374.84,?,?,?,?,?,?,38,1,10,2,-1
?,?,?,?,?,145714,-28,?,?,?,?,?,2,1,10,2,-1
?,?,?,?,?,74342.4,?,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,14371.84,34,?,?,?,?,?,38,1,5,2,-1
?,?,0,0,?,0,-20,?,0,?,?,?,38,1,10,2,-1
?,?,?,?,?,-815424,?,?,?,?,?,?,7,1,8,1,-1
?,?,?,?,?,125023.2,-18,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,154248.4,4,?,?,?,?,?,29,4,10,2,-1
?,?,?,?,?,1503376,-20,0,?,?,?,10.8,38,1,10,1,-1
?,?,?,?,?,-5335.56,30,?,?,?,?,?,38,1,5,2,-1
?,?,?,?,?,1321088,?,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,93148.8,-30,?,?,?,?,?,14,1,6,2,-1
?,?,?,?,?,-237053.6,4,?,?,?,?,?,38,3,10,1,1
?,?,?,?,?,-117044,-30,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,575264,10,?,?,?,?,?,38,1,10,1,1
?,?,?,?,?,152685.6,?,?,?,?,?,?,38,1,5,1,1
?,?,?,?,215647.2,-1447780,?,?,?,691200,?,?,38,1,8,2,-1
?,?,?,?,?,-182254,-2,?,?,?,?,?,38,4,8,2,1
?,?,?,?,?,-199754,-12,?,?,?,?,?,38,4,10,2,1
?,?,?,?,?,82450,4,?,?,?,?,?,38,1,10,2,1
?,?,?,?,?,259744.4,?,?,?,?,?,?,31,1,5,2,-1
?,?,?,?,?,293492.8,56,?,?,?,?,?,26,1,5,1,-1
?,?,?,?,0,-829472,-8,?,?,0,?,?,38,1,10,2,1
?,?,?,?,?,322211.6,?,?,?,?,?,?,38,4,10,2,1
?,?,?,?,?,-325384.8,?,?,?,?,?,?,16,1,5,1,1
?,?,?,?,?,131979.6,?,?,?,?,?,?,2,1,5,2,-1
?,?,?,?,?,51727.2,?,?,?,?,?,?,27,?,10,1,-1
