@relation data
@attribute Var3 numeric
@attribute Var54 numeric
@attribute Var62 numeric
@attribute Var82 numeric
@attribute Var87 numeric
@attribute Var147 numeric
@attribute Var211 numeric
@attribute Var212 numeric
@attribute Var218 numeric
@attribute Var227 numeric
@attribute Var228 numeric
@attribute upselling numeric
@data
?,?,?,?,?,?,1,76,1,5,14,-1
?,?,?,?,?,?,1,53,?,5,14,-1
?,?,?,?,?,?,1,73,2,1,15,-1
?,?,?,?,?,?,2,53,2,5,14,-1
?,?,?,?,?,?,1,76,2,5,14,-1
?,?,?,?,?,?,1,7,2,1,30,-1
?,?,?,?,?,?,2,76,2,5,5,-1
?,?,?,?,?,?,2,53,2,5,14,-1
?,?,?,?,?,?,1,18,?,2,9,-1
?,?,?,?,?,?,1,37,2,5,5,-1
?,?,?,?,?,?,1,8,2,7,15,-1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,1,70,1,7,16,-1
?,?,?,?,?,?,1,53,1,5,14,-1
?,?,?,?,?,?,1,53,1,5,14,1
?,?,?,?,?,?,1,37,1,5,5,-1
?,?,?,?,?,?,1,76,2,7,16,-1
?,?,?,?,?,?,1,65,2,7,15,-1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,2,53,2,5,14,-1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,1,37,1,5,14,1
?,?,?,?,?,?,1,25,1,4,14,1
?,?,?,0,?,?,2,53,2,5,14,-1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,1,76,1,5,5,-1
?,?,?,?,?,?,1,53,1,5,14,1
?,?,?,?,?,?,1,53,1,5,14,-1
?,?,?,?,?,?,1,57,1,7,15,-1
?,?,?,?,?,?,1,53,2,5,14,1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,1,76,1,5,14,-1
?,?,?,?,?,?,1,53,1,7,14,-1
?,?,?,?,?,?,1,25,1,4,14,-1
?,?,?,?,?,?,1,34,2,2,13,1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,2,45,1,1,28,-1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,1,8,1,7,21,-1
?,?,?,3,?,?,2,25,1,1,14,-1
?,?,?,?,?,?,1,25,2,4,14,-1
?,?,?,?,?,?,2,53,1,5,14,-1
?,?,?,?,?,?,2,53,2,5,14,-1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,1,53,2,5,5,-1
?,?,?,?,?,?,1,53,1,5,14,-1
?,?,?,?,?,?,1,53,1,5,14,-1
?,?,?,?,?,?,1,65,1,7,15,-1
?,?,?,?,?,?,1,53,1,5,14,-1
?,?,?,?,?,?,2,53,2,5,14,-1
?,?,?,?,?,?,1,53,2,5,14,-1
?,?,?,?,?,?,1,34,1,2,23,-1
?,?,?,?,?,?,1,76,1,5,14,-1
?,?,?,?,?,?,2,34,2,2,23,-1
?,?,?,?,?,?,1,53,1,5,14,-1
?,?,?,?,?,?,1,1,1,7,15,-1
?,?,?,?,?,?,1,76,1,5,5,-1
?,?,?,?,?,?,1,34,1,2,23,-1
?,?,?,?,?,?,1,53,1,5,14,-1
?,?,?,?,?,?,1,25,1,1,14,-1
