@relation data-weka.filters.unsupervised.attribute.NumericToNominal-R231-233-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute Var1 numeric
@attribute Var2 numeric
@attribute Var3 numeric
@attribute Var4 numeric
@attribute Var5 numeric
@attribute Var6 numeric
@attribute Var7 numeric
@attribute Var8 numeric
@attribute Var9 numeric
@attribute Var10 numeric
@attribute Var11 numeric
@attribute Var12 numeric
@attribute Var13 numeric
@attribute Var14 numeric
@attribute Var15 numeric
@attribute Var16 numeric
@attribute Var17 numeric
@attribute Var18 numeric
@attribute Var19 numeric
@attribute Var20 numeric
@attribute Var21 numeric
@attribute Var22 numeric
@attribute Var23 numeric
@attribute Var24 numeric
@attribute Var25 numeric
@attribute Var26 numeric
@attribute Var27 numeric
@attribute Var28 numeric
@attribute Var29 numeric
@attribute Var30 numeric
@attribute Var31 numeric
@attribute Var32 numeric
@attribute Var33 numeric
@attribute Var34 numeric
@attribute Var35 numeric
@attribute Var36 numeric
@attribute Var37 numeric
@attribute Var38 numeric
@attribute Var39 numeric
@attribute Var40 numeric
@attribute Var41 numeric
@attribute Var42 numeric
@attribute Var43 numeric
@attribute Var44 numeric
@attribute Var45 numeric
@attribute Var46 numeric
@attribute Var47 numeric
@attribute Var48 numeric
@attribute Var49 numeric
@attribute Var50 numeric
@attribute Var51 numeric
@attribute Var52 numeric
@attribute Var53 numeric
@attribute Var54 numeric
@attribute Var55 numeric
@attribute Var56 numeric
@attribute Var57 numeric
@attribute Var58 numeric
@attribute Var59 numeric
@attribute Var60 numeric
@attribute Var61 numeric
@attribute Var62 numeric
@attribute Var63 numeric
@attribute Var64 numeric
@attribute Var65 numeric
@attribute Var66 numeric
@attribute Var67 numeric
@attribute Var68 numeric
@attribute Var69 numeric
@attribute Var70 numeric
@attribute Var71 numeric
@attribute Var72 numeric
@attribute Var73 numeric
@attribute Var74 numeric
@attribute Var75 numeric
@attribute Var76 numeric
@attribute Var77 numeric
@attribute Var78 numeric
@attribute Var79 numeric
@attribute Var80 numeric
@attribute Var81 numeric
@attribute Var82 numeric
@attribute Var83 numeric
@attribute Var84 numeric
@attribute Var85 numeric
@attribute Var86 numeric
@attribute Var87 numeric
@attribute Var88 numeric
@attribute Var89 numeric
@attribute Var90 numeric
@attribute Var91 numeric
@attribute Var92 numeric
@attribute Var93 numeric
@attribute Var94 numeric
@attribute Var95 numeric
@attribute Var96 numeric
@attribute Var97 numeric
@attribute Var98 numeric
@attribute Var99 numeric
@attribute Var100 numeric
@attribute Var101 numeric
@attribute Var102 numeric
@attribute Var103 numeric
@attribute Var104 numeric
@attribute Var105 numeric
@attribute Var106 numeric
@attribute Var107 numeric
@attribute Var108 numeric
@attribute Var109 numeric
@attribute Var110 numeric
@attribute Var111 numeric
@attribute Var112 numeric
@attribute Var113 numeric
@attribute Var114 numeric
@attribute Var115 numeric
@attribute Var116 numeric
@attribute Var117 numeric
@attribute Var118 numeric
@attribute Var119 numeric
@attribute Var120 numeric
@attribute Var121 numeric
@attribute Var122 numeric
@attribute Var123 numeric
@attribute Var124 numeric
@attribute Var125 numeric
@attribute Var126 numeric
@attribute Var127 numeric
@attribute Var128 numeric
@attribute Var129 numeric
@attribute Var130 numeric
@attribute Var131 numeric
@attribute Var132 numeric
@attribute Var133 numeric
@attribute Var134 numeric
@attribute Var135 numeric
@attribute Var136 numeric
@attribute Var137 numeric
@attribute Var138 numeric
@attribute Var139 numeric
@attribute Var140 numeric
@attribute Var141 numeric
@attribute Var142 numeric
@attribute Var143 numeric
@attribute Var144 numeric
@attribute Var145 numeric
@attribute Var146 numeric
@attribute Var147 numeric
@attribute Var148 numeric
@attribute Var149 numeric
@attribute Var150 numeric
@attribute Var151 numeric
@attribute Var152 numeric
@attribute Var153 numeric
@attribute Var154 numeric
@attribute Var155 numeric
@attribute Var156 numeric
@attribute Var157 numeric
@attribute Var158 numeric
@attribute Var159 numeric
@attribute Var160 numeric
@attribute Var161 numeric
@attribute Var162 numeric
@attribute Var163 numeric
@attribute Var164 numeric
@attribute Var165 numeric
@attribute Var166 numeric
@attribute Var167 numeric
@attribute Var168 numeric
@attribute Var169 numeric
@attribute Var170 numeric
@attribute Var171 numeric
@attribute Var172 numeric
@attribute Var173 numeric
@attribute Var174 numeric
@attribute Var175 numeric
@attribute Var176 numeric
@attribute Var177 numeric
@attribute Var178 numeric
@attribute Var179 numeric
@attribute Var180 numeric
@attribute Var181 numeric
@attribute Var182 numeric
@attribute Var183 numeric
@attribute Var184 numeric
@attribute Var185 numeric
@attribute Var186 numeric
@attribute Var187 numeric
@attribute Var188 numeric
@attribute Var189 numeric
@attribute Var190 numeric
@attribute Var191 numeric
@attribute Var192 numeric
@attribute Var193 numeric
@attribute Var194 numeric
@attribute Var195 numeric
@attribute Var196 numeric
@attribute Var197 numeric
@attribute Var198 numeric
@attribute Var199 numeric
@attribute Var200 numeric
@attribute Var201 numeric
@attribute Var202 numeric
@attribute Var203 numeric
@attribute Var204 numeric
@attribute Var205 numeric
@attribute Var206 numeric
@attribute Var207 numeric
@attribute Var208 numeric
@attribute Var209 numeric
@attribute Var210 numeric
@attribute Var211 numeric
@attribute Var212 numeric
@attribute Var213 numeric
@attribute Var214 numeric
@attribute Var215 numeric
@attribute Var216 numeric
@attribute Var217 numeric
@attribute Var218 numeric
@attribute Var219 numeric
@attribute Var220 numeric
@attribute Var221 numeric
@attribute Var222 numeric
@attribute Var223 numeric
@attribute Var224 numeric
@attribute Var225 numeric
@attribute Var226 numeric
@attribute Var227 numeric
@attribute Var228 numeric
@attribute Var229 numeric
@attribute Var230 numeric
@attribute churn {-1,1}
@attribute appetency {-1,1}
@attribute upselling {-1,1}

@data
?,?,?,?,?,63,0,?,?,?,?,?,0,?,?,?,?,?,?,?,16,20,?,0,0,?,?,186.64,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,6.555223,?,?,?,?,?,?,?,9,?,?,?,?,?,?,3,14,0,?,4838400,?,0,?,?,733254,?,5,?,0,?,?,?,?,?,?,?,?,588,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,8,179645.6,?,?,?,?,?,60,?,?,?,0,?,0,4,?,?,?,?,?,0,6048000,0,?,?,?,?,?,0,?,?,0,0,?,?,?,?,0,?,?,?,9305480,?,?,?,?,?,?,4,?,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,144,?,?,110,13,?,19,1,139,518,4082,?,?,2294,1,37,2,12,9,1,?,6,1,34,?,?,?,804,9945,2,12,3111,7,2141,3,?,?,13,2,13,?,?,1,-1,-1
?,?,?,?,?,4116,21,?,?,?,?,?,1312,?,?,?,?,?,?,?,1448,1810,?,16,448,?,?,253.52,?,?,?,?,?,?,0,?,?,4180026,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,2.103611,?,?,?,?,?,?,?,27,?,?,?,?,?,?,6,40,7,?,2608712,?,0,?,?,44301.6,?,250,?,40,?,?,?,?,?,?,?,?,26562,?,?,?,?,?,?,?,?,?,?,?,?,?,?,352,?,?,272,167754.4,?,?,?,?,?,5235,?,?,?,768,?,33399,14,?,?,?,?,?,0,3909545,845050,?,?,?,?,?,2000,?,?,0,9,?,?,?,?,529473,?,?,?,10727120,?,?,?,?,?,?,148,?,?,985488,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,258,?,?,77,38,?,19,1,6,1020,3387,?,?,723,1,51,3,21,10,1,?,6,1,53,?,?,?,1073,7046,2,12,1530,4,2524,2,?,?,8,5,14,?,?,1,-1,-1
?,?,?,?,?,567,7,?,?,?,?,?,104,?,?,?,?,?,?,?,108,135,?,2,64,?,?,220.08,?,?,?,?,?,?,0,?,?,1677036,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,3.049348,?,?,?,?,?,?,?,9,?,?,?,?,?,?,3,30,0,?,1271160,?,0,?,?,38266.2,?,0,?,4,?,?,?,?,?,?,?,?,91347,?,?,?,?,?,?,?,?,?,?,?,?,?,?,32,?,?,56,346268,?,?,?,?,?,410,?,?,?,42,?,378,4,?,?,?,?,?,0,406040,129176,?,?,?,?,?,85,?,?,0,9,?,?,?,?,276647,?,?,?,2388556,?,?,?,?,?,?,6,?,?,77652,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,384,?,?,295,38,?,19,1,21,2940,3619,?,?,1111,1,94,3,2,10,1,?,6,1,53,?,?,?,996,13340,2,12,3447,4,1077,3,?,?,13,5,14,?,?,-1,-1,-1
?,?,?,?,?,168,0,?,?,?,?,?,20,?,?,?,?,?,?,?,0,0,?,?,0,?,?,133.12,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0.03824,?,?,?,?,?,?,?,9,?,?,?,?,?,?,?,118,0,?,0,?,0,?,?,240326.7,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,?,?,?,?,?,0,?,?,?,0,?,4887,?,?,?,?,?,?,0,0,0,?,?,?,?,?,0,?,?,0,9,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,210,?,?,25,2,?,19,1,106,268,313,?,?,3187,1,97,3,16,10,1,?,6,1,53,?,?,?,1696,2353,2,5,1306,4,114,2,?,?,9,5,5,1,?,1,-1,-1
?,?,?,?,?,1155,7,?,?,?,?,?,1132,?,?,?,?,?,?,?,128,160,?,8,64,?,?,166.56,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,3.731468,?,?,?,?,?,?,?,9,?,?,?,?,?,?,?,116,14,?,81824,?,0,?,?,6306.87,?,0,?,28,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,56,2289.572,?,?,?,?,?,515,?,?,?,0,?,18198,?,?,?,?,?,?,0,14245,20338,?,?,?,?,?,65,?,?,0,18,?,?,?,?,40439,?,?,?,321208,?,?,?,?,?,?,6,?,?,342336,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,361,2,?,19,1,62,1890,1306,9774,?,1876,1,64,3,4,10,1,?,6,1,76,?,13761,?,1845,9289,1,12,312,4,688,3,?,1,3,5,5,2,?,1,-1,-1
?,?,?,?,?,1176,0,?,?,?,?,?,0,?,?,?,?,?,?,?,176,220,?,2,64,?,?,133.12,?,?,?,?,?,?,0,?,?,2436,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0.493698,?,?,?,?,?,?,?,9,?,?,?,?,?,?,?,54,0,?,1137752,?,0,?,?,12782.67,?,0,?,10,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,32,?,?,72,-92087.6,?,?,?,?,?,1080,?,?,?,6,?,6435,30,?,?,?,?,?,0,543030,115634,?,?,?,?,?,0,?,?,0,0,?,?,?,?,13097,?,?,?,1282788,?,?,?,?,?,?,42,?,?,69894,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,239,38,3,19,1,21,2168,3928,7341,2,2132,1,91,1,12,6,1,?,6,1,25,?,75,?,207,944,2,12,3602,2,2677,3,?,2,3,4,14,2,?,1,-1,-1
?,?,?,?,?,2037,14,?,?,?,?,?,8,?,?,?,?,?,?,?,296,370,?,10,72,?,?,166.56,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,3.177526,?,?,?,?,?,?,?,18,?,?,?,?,?,?,6,46,0,?,358992,?,0,?,?,4253.94,?,0,?,22,?,?,?,?,?,?,?,?,4728,?,?,?,?,?,?,?,?,?,?,?,?,?,?,128,?,?,360,-103813.2,?,?,?,?,?,860,?,?,?,0,?,567,22,?,?,?,?,?,0,23205,58708,?,?,?,?,?,420,?,?,0,0,?,?,?,?,76706,?,?,?,470000,?,?,?,?,?,?,18,?,?,231786,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,225,38,?,19,1,180,3744,649,?,?,444,1,45,1,12,10,1,?,6,1,53,?,?,?,1077,4906,2,12,4222,4,1275,3,?,?,7,5,14,2,?,-1,-1,-1
?,?,?,?,?,532,7,?,?,?,?,?,1492,?,?,?,?,?,?,?,64,80,?,2,24,?,?,86.96,?,?,?,?,?,?,0,?,?,5197284,?,?,?,?,?,0,?,?,?,?,?,?,3422.16,?,?,?,?,?,5.044435,?,?,?,?,?,?,?,9,?,?,?,?,?,?,3,32,28,?,1894352,?,0,?,?,222253.8,?,0,?,2,?,?,?,?,?,?,?,?,473070,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8,?,?,16,-18769.28,?,?,?,?,?,425,?,?,?,30,?,156888,?,?,?,?,?,?,0,4608065,268944,?,?,?,?,?,3590,?,?,0,18,?,?,?,?,554421,?,?,?,8953200,?,?,?,?,?,?,10,?,?,475218,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,72,38,?,19,1,139,1289,5064,?,?,5701,1,27,2,21,10,1,?,6,1,53,?,?,?,1266,5655,1,12,727,4,2096,3,?,?,22,5,14,?,?,1,-1,-1
?,?,?,?,?,1512,7,?,?,?,?,?,472,?,?,?,?,?,?,?,128,160,?,0,128,?,?,266.88,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,1.000214,?,?,?,?,?,?,?,9,?,?,?,?,?,?,?,58,0,?,67088,?,0,?,?,20717.31,?,0,?,10,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,24,?,?,32,-305108,?,?,?,?,?,745,?,?,?,0,?,49572,34,?,?,?,?,?,0,313335,129820,?,?,?,?,?,2130,?,?,0,0,?,?,?,?,0,?,?,?,618224,?,?,?,?,?,?,14,?,?,111558,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,181,7,?,19,1,21,390,4841,347,?,1748,1,90,?,7,8,1,?,6,1,58,?,14956,?,1250,13949,1,12,3689,2,2587,3,?,1,18,1,28,1,?,1,-1,-1
?,?,?,?,?,1939,7,?,?,?,?,?,416,?,?,?,?,?,?,?,476,595,?,14,304,?,?,166.56,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,3.608417,?,?,?,?,?,?,?,18,?,?,?,?,?,?,3,118,49,?,403568,?,0,?,?,13403.58,?,0,?,18,?,?,?,?,?,?,?,?,55347,?,?,?,?,?,?,?,?,?,?,?,?,?,?,104,?,?,152,-10846.28,?,?,?,?,?,1950,?,?,?,0,?,33687,?,?,?,?,?,?,0,1557750,337736,?,?,?,?,?,2155,?,?,0,9,?,?,?,?,166488,?,?,?,2376900,?,?,?,?,?,?,106,?,?,380166,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,142,2,?,19,1,171,2953,3805,10073,?,2185,1,70,3,13,11,1,?,6,1,42,?,10934,?,538,2591,2,12,3490,7,820,3,?,1,16,2,30,?,?,-1,-1,-1
