@relation data-weka.filters.unsupervised.attribute.NumericToNominal-R231-233-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-V

@attribute Var1 numeric
@attribute Var2 numeric
@attribute Var3 numeric
@attribute Var4 numeric
@attribute Var5 numeric
@attribute Var6 numeric
@attribute Var7 numeric
@attribute Var8 numeric
@attribute Var9 numeric
@attribute Var10 numeric
@attribute Var11 numeric
@attribute Var12 numeric
@attribute Var13 numeric
@attribute Var14 numeric
@attribute Var15 numeric
@attribute Var16 numeric
@attribute Var17 numeric
@attribute Var18 numeric
@attribute Var19 numeric
@attribute Var20 numeric
@attribute Var21 numeric
@attribute Var22 numeric
@attribute Var23 numeric
@attribute Var24 numeric
@attribute Var25 numeric
@attribute Var26 numeric
@attribute Var27 numeric
@attribute Var28 numeric
@attribute Var29 numeric
@attribute Var30 numeric
@attribute Var31 numeric
@attribute Var32 numeric
@attribute Var33 numeric
@attribute Var34 numeric
@attribute Var35 numeric
@attribute Var36 numeric
@attribute Var37 numeric
@attribute Var38 numeric
@attribute Var39 numeric
@attribute Var40 numeric
@attribute Var41 numeric
@attribute Var42 numeric
@attribute Var43 numeric
@attribute Var44 numeric
@attribute Var45 numeric
@attribute Var46 numeric
@attribute Var47 numeric
@attribute Var48 numeric
@attribute Var49 numeric
@attribute Var50 numeric
@attribute Var51 numeric
@attribute Var52 numeric
@attribute Var53 numeric
@attribute Var54 numeric
@attribute Var55 numeric
@attribute Var56 numeric
@attribute Var57 numeric
@attribute Var58 numeric
@attribute Var59 numeric
@attribute Var60 numeric
@attribute Var61 numeric
@attribute Var62 numeric
@attribute Var63 numeric
@attribute Var64 numeric
@attribute Var65 numeric
@attribute Var66 numeric
@attribute Var67 numeric
@attribute Var68 numeric
@attribute Var69 numeric
@attribute Var70 numeric
@attribute Var71 numeric
@attribute Var72 numeric
@attribute Var73 numeric
@attribute Var74 numeric
@attribute Var75 numeric
@attribute Var76 numeric
@attribute Var77 numeric
@attribute Var78 numeric
@attribute Var79 numeric
@attribute Var80 numeric
@attribute Var81 numeric
@attribute Var82 numeric
@attribute Var83 numeric
@attribute Var84 numeric
@attribute Var85 numeric
@attribute Var86 numeric
@attribute Var87 numeric
@attribute Var88 numeric
@attribute Var89 numeric
@attribute Var90 numeric
@attribute Var91 numeric
@attribute Var92 numeric
@attribute Var93 numeric
@attribute Var94 numeric
@attribute Var95 numeric
@attribute Var96 numeric
@attribute Var97 numeric
@attribute Var98 numeric
@attribute Var99 numeric
@attribute Var100 numeric
@attribute Var101 numeric
@attribute Var102 numeric
@attribute Var103 numeric
@attribute Var104 numeric
@attribute Var105 numeric
@attribute Var106 numeric
@attribute Var107 numeric
@attribute Var108 numeric
@attribute Var109 numeric
@attribute Var110 numeric
@attribute Var111 numeric
@attribute Var112 numeric
@attribute Var113 numeric
@attribute Var114 numeric
@attribute Var115 numeric
@attribute Var116 numeric
@attribute Var117 numeric
@attribute Var118 numeric
@attribute Var119 numeric
@attribute Var120 numeric
@attribute Var121 numeric
@attribute Var122 numeric
@attribute Var123 numeric
@attribute Var124 numeric
@attribute Var125 numeric
@attribute Var126 numeric
@attribute Var127 numeric
@attribute Var128 numeric
@attribute Var129 numeric
@attribute Var130 numeric
@attribute Var131 numeric
@attribute Var132 numeric
@attribute Var133 numeric
@attribute Var134 numeric
@attribute Var135 numeric
@attribute Var136 numeric
@attribute Var137 numeric
@attribute Var138 numeric
@attribute Var139 numeric
@attribute Var140 numeric
@attribute Var141 numeric
@attribute Var142 numeric
@attribute Var143 numeric
@attribute Var144 numeric
@attribute Var145 numeric
@attribute Var146 numeric
@attribute Var147 numeric
@attribute Var148 numeric
@attribute Var149 numeric
@attribute Var150 numeric
@attribute Var151 numeric
@attribute Var152 numeric
@attribute Var153 numeric
@attribute Var154 numeric
@attribute Var155 numeric
@attribute Var156 numeric
@attribute Var157 numeric
@attribute Var158 numeric
@attribute Var159 numeric
@attribute Var160 numeric
@attribute Var161 numeric
@attribute Var162 numeric
@attribute Var163 numeric
@attribute Var164 numeric
@attribute Var165 numeric
@attribute Var166 numeric
@attribute Var167 numeric
@attribute Var168 numeric
@attribute Var169 numeric
@attribute Var170 numeric
@attribute Var171 numeric
@attribute Var172 numeric
@attribute Var173 numeric
@attribute Var174 numeric
@attribute Var175 numeric
@attribute Var176 numeric
@attribute Var177 numeric
@attribute Var178 numeric
@attribute Var179 numeric
@attribute Var180 numeric
@attribute Var181 numeric
@attribute Var182 numeric
@attribute Var183 numeric
@attribute Var184 numeric
@attribute Var185 numeric
@attribute Var186 numeric
@attribute Var187 numeric
@attribute Var188 numeric
@attribute Var189 numeric
@attribute Var190 numeric
@attribute Var191 numeric
@attribute Var192 numeric
@attribute Var193 numeric
@attribute Var194 numeric
@attribute Var195 numeric
@attribute Var196 numeric
@attribute Var197 numeric
@attribute Var198 numeric
@attribute Var199 numeric
@attribute Var200 numeric
@attribute Var201 numeric
@attribute Var202 numeric
@attribute Var203 numeric
@attribute Var204 numeric
@attribute Var205 numeric
@attribute Var206 numeric
@attribute Var207 numeric
@attribute Var208 numeric
@attribute Var209 numeric
@attribute Var210 numeric
@attribute Var211 numeric
@attribute Var212 numeric
@attribute Var213 numeric
@attribute Var214 numeric
@attribute Var215 numeric
@attribute Var216 numeric
@attribute Var217 numeric
@attribute Var218 numeric
@attribute Var219 numeric
@attribute Var220 numeric
@attribute Var221 numeric
@attribute Var222 numeric
@attribute Var223 numeric
@attribute Var224 numeric
@attribute Var225 numeric
@attribute Var226 numeric
@attribute Var227 numeric
@attribute Var228 numeric
@attribute Var229 numeric
@attribute Var230 numeric
@attribute churn {-1,1}
@attribute appetency {-1,1}
@attribute upselling {-1,1}

@data
?,?,?,?,?,938,0,?,?,?,?,?,0,?,?,?,?,?,?,?,128,160,?,0,8,?,?,253.52,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0.319376,?,?,?,?,?,?,?,9,?,?,?,?,?,?,?,40,0,?,6220800,?,0,?,?,187199.4,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,32,?,?,72,-55513.6,?,?,?,?,?,560,?,?,?,0,?,93951,16,?,?,?,?,?,0,9504000,18240,?,?,?,?,?,0,?,?,0,9,?,?,?,?,0,?,?,?,10750080,?,?,?,?,?,?,44,?,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,124,38,?,19,1,179,876,76,?,?,5596,1,18,3,21,10,1,?,6,1,53,?,?,?,154,9563,2,12,1565,4,2403,3,?,?,20,5,14,?,?,1,-1,-1
?,?,?,?,?,1869,14,?,?,?,?,?,648,?,?,?,?,?,?,?,52,65,?,0,16,?,?,220.08,?,?,?,?,?,?,0,?,?,2655732,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,3.786157,?,?,?,?,?,?,?,18,?,?,?,?,?,?,6,58,14,?,3375504,?,0,?,?,82633.2,?,5,?,2,?,?,?,?,?,?,?,?,28038,?,?,?,?,?,?,?,?,?,?,?,?,?,?,16,?,?,16,247395.2,?,?,?,?,?,480,?,?,?,18,?,15300,?,?,?,?,?,?,0,3704495,659702,?,?,?,?,?,925,?,?,0,9,?,?,?,?,0,?,?,?,8823160,?,?,?,?,?,?,8,?,?,49674,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,89,7,?,19,1,139,2953,4799,10090,?,1796,1,35,3,12,11,1,?,6,1,41,?,4883,?,1546,6164,1,12,3490,7,820,2,?,1,4,2,28,1,?,-1,-1,-1
?,?,?,?,?,735,7,?,?,?,?,?,44,?,?,?,?,?,?,?,184,230,?,0,128,?,?,286.96,?,?,?,?,?,?,0,?,?,3693360,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,1.325999,?,?,?,?,?,?,?,9,?,?,?,?,?,?,?,30,91,?,243784,?,0,?,?,184341,?,15,?,8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,64,?,?,40,157915.2,?,?,?,?,?,560,?,?,?,48,?,99576,-30,?,?,?,?,?,0,28835,2720640,?,?,?,?,?,2540,?,?,0,18,?,?,?,?,0,?,?,?,10467680,?,?,?,?,?,?,20,?,?,2073600,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,66,7,?,19,1,44,556,984,?,?,892,1,25,3,21,5,1,?,6,1,53,?,?,?,694,4731,1,?,665,4,3641,?,?,?,15,7,13,?,?,-1,-1,-1
?,?,?,?,?,2023,7,?,?,?,?,?,0,?,?,?,?,?,?,?,172,215,?,4,56,?,?,274,?,?,?,?,?,?,0,?,?,3213828,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,4.051271,?,?,?,?,?,?,?,9,?,?,?,?,?,?,3,44,0,?,3053336,?,0,?,?,63334.8,?,15,?,10,?,?,?,?,?,?,?,?,24207,?,?,?,?,?,?,?,?,?,?,?,?,?,?,48,?,?,48,-159190,?,?,?,?,?,610,?,?,?,60,?,3294,2,?,?,?,?,?,0,4545140,1120658,?,?,?,?,?,160,?,?,0,18,?,?,?,?,921214,?,?,?,10649120,?,?,?,?,?,?,24,?,?,1557540,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,360,?,?,254,38,?,19,1,47,4259,1694,?,?,2387,1,34,3,3,10,1,?,4,1,76,?,?,?,1122,11128,1,12,3638,4,3399,3,?,?,11,5,14,?,?,-1,-1,-1
?,?,?,?,?,518,14,?,?,?,?,?,888,?,?,?,?,?,?,?,52,65,?,0,16,?,?,198.88,?,?,?,?,?,?,0,?,?,1814604,?,?,?,?,?,0,?,?,?,?,?,?,22691.6,?,?,?,?,?,1.812433,?,?,?,?,?,?,?,18,?,?,?,?,?,?,6,32,994,?,0,?,0,?,?,201399.3,?,0,?,0,?,?,?,?,?,?,?,?,192141,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0,119852.4,?,?,?,?,?,440,?,?,?,24,?,40302,6,?,?,?,?,?,0,11131350,366682,?,?,?,?,?,11825,?,?,0,9,?,?,?,?,0,?,?,?,10848160,?,?,?,?,?,?,14,?,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,277,38,?,19,1,106,3939,859,?,?,5203,1,1,1,12,10,1,?,6,1,53,?,?,?,1077,10630,2,?,4090,4,3238,?,?,?,1,5,14,?,?,-1,-1,-1
?,?,?,?,?,819,0,?,?,?,?,?,0,?,?,?,?,?,?,?,128,160,?,0,16,?,?,186.64,?,?,?,?,?,?,0,?,?,3530220,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,3.461013,?,?,?,?,?,?,?,18,?,?,?,?,?,?,?,178,0,?,3456000,?,0,?,?,185401.5,?,15,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,32,?,?,40,210230.4,?,?,?,?,?,525,?,?,?,54,?,1530,-30,?,?,?,?,?,0,5082250,345178,?,?,?,?,?,0,?,?,0,36,?,?,?,?,0,?,?,?,9904040,?,?,?,?,?,?,26,?,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,330,?,?,28,2,?,19,1,75,1497,4771,14801,?,2232,1,70,3,20,5,1,?,6,1,38,?,8522,?,1281,6094,1,12,437,1,1054,2,?,1,16,7,16,2,?,-1,-1,1
?,?,?,?,?,3626,0,?,?,?,?,?,488,?,?,?,?,?,?,?,308,385,?,8,136,?,?,358.88,?,?,?,?,?,?,0,?,?,3106152,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,3.111728,?,?,?,?,?,?,?,18,?,?,?,?,?,?,?,102,0,?,1863336,?,0,?,?,25125.48,?,55,?,14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,96,?,?,80,-189246.4,?,?,?,?,?,1360,?,?,?,108,?,56160,30,?,?,?,?,?,0,1954390,621770,?,?,?,?,?,0,?,?,0,27,?,?,?,?,268443,?,?,?,6855400,?,?,?,?,?,?,28,?,?,263658,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,316,2,?,19,1,174,3664,350,13063,?,2757,1,29,2,14,10,1,?,4,1,76,?,10728,?,1845,11262,1,12,3488,4,945,3,?,?,11,5,5,?,?,-1,-1,-1
?,?,?,?,?,448,0,?,?,?,?,?,0,?,?,?,?,?,?,?,16,20,?,0,0,?,?,286.96,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,1.001495,?,?,?,?,?,?,?,9,?,?,?,?,?,?,3,28,0,?,0,?,0,?,?,258379.5,?,0,?,0,?,?,?,?,?,?,?,?,5424,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0,295746.4,?,?,?,?,?,260,?,?,?,0,?,0,-28,?,?,?,?,?,0,10287900,0,?,?,?,?,?,0,?,?,0,18,?,?,?,?,0,?,?,?,8230320,?,?,?,?,?,?,8,?,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,336,?,?,315,38,?,19,1,106,1692,2885,?,?,324,1,70,1,21,10,1,?,6,1,53,?,?,?,640,2524,2,12,3958,4,2327,3,?,?,16,5,14,?,?,-1,-1,-1
?,?,?,?,?,497,0,?,?,?,?,?,0,?,?,?,?,?,?,?,140,175,?,0,32,?,?,320.4,?,?,?,?,?,?,0,?,?,1036800,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,2.006623,?,?,?,?,?,?,?,9,?,?,?,?,?,?,?,20,0,?,4838400,?,0,?,?,110655,?,5,?,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,32,?,?,56,394637.2,?,?,?,?,?,900,?,?,?,12,?,0,-22,?,?,?,?,?,0,7845650,85268,?,?,?,?,?,0,?,?,0,9,?,?,?,?,0,?,?,?,10070960,?,?,?,?,?,?,40,?,?,518400,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,126,?,?,57,38,?,19,1,170,2064,1586,?,?,4318,1,66,3,21,10,1,?,6,2,53,?,?,?,1016,6838,2,?,3621,4,1528,?,?,?,12,5,14,?,?,-1,-1,-1
?,0,0,?,?,?,?,?,?,?,8,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,0,?,?,?,0,?,?,0,?,?,0,?,?,0,?,?,?,?,8,?,?,1.986541,?,0,?,?,?,?,?,?,?,?,0,?,?,?,?,6,?,5,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,-258384,0,0,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,?,?,0,?,?,?,?,?,0,0,?,?,?,?,?,0,0,?,?,?,142.74,?,?,?,61,38,?,19,1,179,2514,859,?,?,2904,1,89,3,?,6,1,?,6,1,25,?,?,?,1928,7962,1,?,317,2,4250,?,1,?,16,1,14,?,?,-1,-1,-1
