@relation data-weka.filters.unsupervised.attribute.NumericToNominal-R30-34-weka.filters.unsupervised.attribute.NumericToNominal-R13-16-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P80.0-weka.filters.unsupervised.attribute.NumericToNominal-R35-36

@attribute Var12 numeric
@attribute Var19 numeric
@attribute Var53 numeric
@attribute Var87 numeric
@attribute Var111 numeric
@attribute Var113 numeric
@attribute Var126 numeric
@attribute Var130 numeric
@attribute Var131 numeric
@attribute Var139 numeric
@attribute Var161 numeric
@attribute Var188 numeric
@attribute Var193 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51}
@attribute Var203 {1,2,3,4,5}
@attribute Var207 {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute Var218 {1,2}
@attribute Var34 numeric
@attribute Var64 numeric
@attribute Var67 numeric
@attribute Var92 numeric
@attribute Var102 numeric
@attribute Var136 numeric
@attribute Var162 numeric
@attribute Var171 numeric
@attribute Var3 numeric
@attribute Var54 numeric
@attribute Var62 numeric
@attribute Var82 numeric
@attribute Var147 numeric
@attribute Var211 {1,2}
@attribute Var212 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81}
@attribute Var227 {1,2,3,4,5,6,7}
@attribute Var228 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30}
@attribute churn {-1,1}
@attribute appetency {-1,1}
@attribute upselling {-1,1}

@data
?,?,?,?,?,122451.6,54,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,16,-1,-1,-1
?,?,?,?,?,-39839.84,4,?,?,?,?,?,38,1,6,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,25,4,14,-1,-1,-1
?,?,?,?,?,69558.8,4,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,414984,12,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-763072,?,?,?,?,?,?,32,4,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,70,7,16,-1,-1,-1
?,?,?,?,?,-283560.8,4,?,?,?,?,?,32,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,77,7,16,-1,-1,-1
?,?,?,?,?,106358.4,6,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-59836,?,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,161604.4,?,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,1,-1,-1
?,0,?,?,?,465552,-26,?,?,?,0,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,3,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,109198,-32,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,1,-1
?,?,?,?,?,1020884,-26,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
