@relation R_data_frame

@attribute Var126 numeric
@attribute Var218 {'',cJvF,UYBR}
@attribute Var229 {'',am7c,mj86,oJmt,sk2h}
@attribute Var74 numeric
@attribute Var73 numeric
@attribute Var113 numeric
@attribute Var81 numeric
@attribute Var193 {_7J0OGNN8s6gFzbM,2Knk1KF,2wnefc9ISdLjfQoAYBI,5QKIjwyXr4MCZTEp7uAkS8PtBLcn,8kO9LslBGNXoLvWEuN6tPuN59TdYxfL9Sm6oU,9U2tunPAje3TwfLLUQxzM3dC1ghn,AERks4l,B2T7ZTgOX7xpBPBD28SLvVWgBkc13Sm0a3tk2,BrRu5UxtiQY9TTJ8ABKpfS,bYmQ4nc,ByQdnLRlFnny2k4AJzG,DH86UFkz9LK6My0ezUgZx96oI,e6CkoqApVR,eSGpMwS8zSGgq_trOpckZ5,Fveq5yuDUj6drSMiZO3mXe,g62hiBSaKg,gGvYE2F8JHtPlbzkGbl,GpoBynXzkxADI7bZBtqvX2IPV5t7o2QCPE,hnq7pOcHWLojUTXc7HQutLwmffdy,iKEouAWeUBYR3fQ5tZmt_bDPIn6qT7tIGHs8L,IlTgyyFksv4BT,J71wxZB6Jn0CR82XoyV,JXVE,KjAW4rq3iyvu8XwKkyQ2_svIATjM3B5,LrdVolaSGUfkVeWC,LrdZy8QqgUfkVShG,MJdP52puUMWhmExsNdlkGDbNTFln2Eg,msph93375qXRfw6hcMceRRIDdmHq8wn,ND3t9Yro9U,NMCEYavk0YOlqn2jHeEDjP0xsdXeAZGnZDN0NOfV,NRCqczK,onTuEhrJJQy_H3IHkZku5AFczhYGqxJ890,OpDzzQJ,PomAbFU,QG5U1Qs9mF3805lxYz2cGPnrm,qqimvRzsp8ZZdKRPgzLg68joSn_k,rEUOq2QD1qfkRr6qpua,RO12,snf9xe6PBwBZ8lKzhEz,SrUWsbENd7prk,T9RM7fDFhhZjjBFsk5zptG,TW8dXluYzKpktZjuY8kSPBaZa,ues7INAmyjdS1vDd0YL9jU,vuPfq6YcbX,w9ygS99Qp_,wvnt2iBhAPeGqIKaFUxJc6ca3IYp,X1rJx42ksaRn3qcM,X2uI6IsGev,yaM_UXtlxCFW5NHTcftwou7BmXcP9VITdHAto,z3s4Ji522ZB1FauqOOqbkl,zPhCMhkz9XiOF7LgT9VfJZ3yI}
@attribute Var207 {0MCPoln,15TtzZrRt2,5iay,6C53VA1kCv,7M47J5GA0pTYIFxg5uy,DHn_WUyBhW_whjA88g9bvA64_,EBKcR3s6B22tD6gC36gm6S,GjJ35utlTa_GNSvxxpb9ju,Kxdu,me75fM6ugJ,NKv3VA1BpP,o0ZZAVSQ32YuE,tMBVJkA0xJMEATvl4ht,wXfldy7}
@attribute churn {Change,Stay}
@attribute appetency {Change,Stay}
@attribute upselling {Change,Stay}

@data
-20,cJvF,mj86,0,102,159627.2,153733.8,RO12,me75fM6ugJ,Change,Change,Change
30,cJvF,am7c,0,106,-340309.6,56567.1,LrdVolaSGUfkVeWC,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,84,56,3132,222688.8,RO12,me75fM6ugJ,Change,Change,Change
-26,cJvF,'',103.658127,10,-688984,103084.052693,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-10,UYBR,'',0,14,430736,182610.9,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,'',35,130,-26698.72,104811.6,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,mj86,259,148,41525.2,105183.9,AERks4l,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-20,UYBR,'',103.658127,4,-2480340,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,'',0,184,128822.4,13988.67,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,UYBR,'',103.658127,10,-779836,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,'',103.658127,8,-812016,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
18,UYBR,'',133,42,55827.2,37976.1,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,am7c,0,152,-232727.6,92596.8,g62hiBSaKg,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-14,UYBR,am7c,168,130,297416,226784.1,GpoBynXzkxADI7bZBtqvX2IPV5t7o2QCPE,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,cJvF,mj86,0,102,-83814.8,6132.12,eSGpMwS8zSGgq_trOpckZ5,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
22,UYBR,mj86,231,118,-2031640,4299.78,2Knk1KF,me75fM6ugJ,Change,Change,Change
50,cJvF,am7c,0,98,352458,27977.58,RO12,Kxdu,Change,Change,Change
4,cJvF,'',103.658127,28,-208628.8,92817,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
4,cJvF,'',0,24,-97640.4,11370.45,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,28,95160,149583.6,AERks4l,7M47J5GA0pTYIFxg5uy,Change,Change,Change
8,cJvF,'',14,32,-368566.4,147782.1,RO12,me75fM6ugJ,Change,Change,Change
-30,UYBR,'',308,152,868.144,24900.42,2Knk1KF,me75fM6ugJ,Change,Change,Stay
6,cJvF,'',42,32,126510.4,167217,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,mj86,7,178,-871,1712.64,AERks4l,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-0.55388,UYBR,am7c,119,152,0,0,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,'',224,104,124740,70197,RO12,me75fM6ugJ,Change,Change,Change
-20,UYBR,mj86,301,166,-1026944,19370.73,NMCEYavk0YOlqn2jHeEDjP0xsdXeAZGnZDN0NOfV,me75fM6ugJ,Change,Change,Change
-12,UYBR,'',0,12,-239694.4,171712.8,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,'',0,26,92192,51245.7,AERks4l,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Change
4,UYBR,am7c,154,146,185706,131610.9,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,'',0,12,-371316.8,177951.9,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,am7c,889,120,141492.4,215134.5,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,'',103.658127,8,-1966128,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-28,UYBR,'',63,40,161009.6,21718.2,RO12,me75fM6ugJ,Change,Change,Change
62,UYBR,'',0,86,-390.2856,16468.59,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-14,UYBR,'',103.658127,10,-745704,103084.052693,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
58,cJvF,am7c,322,82,130277.2,208619.1,RO12,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Stay
4,cJvF,'',0,14,-414280,138473.4,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,91,54,1948.716,19909.44,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,0,84,-62292.4,40914,eSGpMwS8zSGgq_trOpckZ5,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Stay
-0.55388,UYBR,'',0,64,-37961.2,22251,RO12,Kxdu,Change,Change,Change
-18,cJvF,'',103.658127,6,-827508,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
18,cJvF,am7c,98,66,130805.6,46676.4,RO12,me75fM6ugJ,Change,Change,Change
-28,'','',0,24,154268.8,24093.9,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,161,166,126594.4,28382.88,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Change
50,cJvF,mj86,0,148,-98258.4,41788.5,rEUOq2QD1qfkRr6qpua,7M47J5GA0pTYIFxg5uy,Change,Change,Change
32,UYBR,mj86,14,80,-32652.44,26483.25,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,mj86,245,76,452204,47511.9,RO12,me75fM6ugJ,Stay,Change,Change
-20,cJvF,'',0,28,-99980.8,152440.2,RO12,me75fM6ugJ,Change,Change,Change
-4,UYBR,'',0,20,5894,192044.7,RO12,me75fM6ugJ,Change,Change,Change
16,UYBR,'',28,40,160496.4,221977.2,RO12,me75fM6ugJ,Change,Change,Change
30,UYBR,am7c,532,176,124221.2,48534.6,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,cJvF,'',0,12,-642112,1596,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-30,cJvF,'',7,208,-29355.44,12352.53,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Stay
-0.55388,cJvF,'',0,22,2218,4737.81,w9ygS99Qp_,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Stay
-28,UYBR,mj86,0,144,-1897.6,2922.207,2Knk1KF,NKv3VA1BpP,Change,Change,Change
-30,UYBR,am7c,434,132,114339.6,213989.7,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,21,178,10838.44,3257.25,rEUOq2QD1qfkRr6qpua,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,UYBR,'',103.658127,10,50446,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,mj86,77,164,152337.6,68300.09,MJdP52puUMWhmExsNdlkGDbNTFln2Eg,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,'',0,12,339852.4,0,RO12,me75fM6ugJ,Change,Change,Change
22,UYBR,'',14,46,258284.4,221510.7,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,'',287,40,230908.4,188216.7,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,am7c,399,202,274595.2,18416.61,ByQdnLRlFnny2k4AJzG,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-0.55388,UYBR,mj86,0,146,366157.2,230801.7,2Knk1KF,me75fM6ugJ,Change,Change,Change
4,cJvF,am7c,0,150,319174.8,113100.9,rEUOq2QD1qfkRr6qpua,7M47J5GA0pTYIFxg5uy,Change,Change,Change
2,cJvF,'',0,26,162770.4,224874.6,RO12,me75fM6ugJ,Change,Change,Change
-18,UYBR,am7c,287,52,-1851776,9628.65,RO12,me75fM6ugJ,Change,Change,Change
