@relation R_data_frame

@attribute Var126 numeric
@attribute Var218 {'',cJvF,UYBR}
@attribute Var229 {'',am7c,mj86,oJmt,sk2h}
@attribute Var74 numeric
@attribute Var73 numeric
@attribute Var113 numeric
@attribute Var81 numeric
@attribute Var193 {_7J0OGNN8s6gFzbM,2Knk1KF,2wnefc9ISdLjfQoAYBI,5QKIjwyXr4MCZTEp7uAkS8PtBLcn,8kO9LslBGNXoLvWEuN6tPuN59TdYxfL9Sm6oU,9U2tunPAje3TwfLLUQxzM3dC1ghn,AERks4l,B2T7ZTgOX7xpBPBD28SLvVWgBkc13Sm0a3tk2,BrRu5UxtiQY9TTJ8ABKpfS,bYmQ4nc,ByQdnLRlFnny2k4AJzG,DH86UFkz9LK6My0ezUgZx96oI,e6CkoqApVR,eSGpMwS8zSGgq_trOpckZ5,Fveq5yuDUj6drSMiZO3mXe,g62hiBSaKg,gGvYE2F8JHtPlbzkGbl,GpoBynXzkxADI7bZBtqvX2IPV5t7o2QCPE,hnq7pOcHWLojUTXc7HQutLwmffdy,iKEouAWeUBYR3fQ5tZmt_bDPIn6qT7tIGHs8L,IlTgyyFksv4BT,J71wxZB6Jn0CR82XoyV,JXVE,KjAW4rq3iyvu8XwKkyQ2_svIATjM3B5,LrdVolaSGUfkVeWC,LrdZy8QqgUfkVShG,MJdP52puUMWhmExsNdlkGDbNTFln2Eg,msph93375qXRfw6hcMceRRIDdmHq8wn,ND3t9Yro9U,NMCEYavk0YOlqn2jHeEDjP0xsdXeAZGnZDN0NOfV,NRCqczK,onTuEhrJJQy_H3IHkZku5AFczhYGqxJ890,OpDzzQJ,PomAbFU,QG5U1Qs9mF3805lxYz2cGPnrm,qqimvRzsp8ZZdKRPgzLg68joSn_k,rEUOq2QD1qfkRr6qpua,RO12,snf9xe6PBwBZ8lKzhEz,SrUWsbENd7prk,T9RM7fDFhhZjjBFsk5zptG,TW8dXluYzKpktZjuY8kSPBaZa,ues7INAmyjdS1vDd0YL9jU,vuPfq6YcbX,w9ygS99Qp_,wvnt2iBhAPeGqIKaFUxJc6ca3IYp,X1rJx42ksaRn3qcM,X2uI6IsGev,yaM_UXtlxCFW5NHTcftwou7BmXcP9VITdHAto,z3s4Ji522ZB1FauqOOqbkl,zPhCMhkz9XiOF7LgT9VfJZ3yI}
@attribute Var207 {0MCPoln,15TtzZrRt2,5iay,6C53VA1kCv,7M47J5GA0pTYIFxg5uy,DHn_WUyBhW_whjA88g9bvA64_,EBKcR3s6B22tD6gC36gm6S,GjJ35utlTa_GNSvxxpb9ju,Kxdu,me75fM6ugJ,NKv3VA1BpP,o0ZZAVSQ32YuE,tMBVJkA0xJMEATvl4ht,wXfldy7}
@attribute churn {Change,Stay}
@attribute appetency {Change,Stay}
@attribute upselling {Change,Stay}

@data
22,cJvF,mj86,315,86,294856.4,203271,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Stay
-0.55388,cJvF,'',0,136,162218.4,16208.94,onTuEhrJJQy_H3IHkZku5AFczhYGqxJ890,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-0.55388,cJvF,am7c,28,130,-70917.6,50159.7,2Knk1KF,me75fM6ugJ,Change,Change,Change
-30,'','',70,36,-43776,181013.1,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Stay
42,cJvF,am7c,0,184,223293.6,45016.2,LrdZy8QqgUfkVShG,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-30,cJvF,mj86,35,108,77408.4,29862.78,2Knk1KF,me75fM6ugJ,Change,Change,Stay
-12,cJvF,'',0,12,-1000060,191857.5,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,'',7,116,28465.28,5488.05,2Knk1KF,me75fM6ugJ,Change,Change,Change
-20,cJvF,'',103.658127,4,-4324680,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-24,UYBR,am7c,7,142,-653108,198057.9,2Knk1KF,me75fM6ugJ,Change,Change,Change
-18,cJvF,'',103.658127,8,-421676,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
14,UYBR,'',42,38,337248,151455,RO12,Kxdu,Change,Change,Change
-20,UYBR,'',103.658127,4,-1983232,103084.052693,RO12,me75fM6ugJ,Stay,Change,Change
4,UYBR,'',0,16,596356,252701.1,RO12,me75fM6ugJ,Stay,Change,Change
-20,cJvF,mj86,42,82,-2028604,4998.06,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-0.55388,UYBR,mj86,14,48,56820.8,8848.92,RO12,me75fM6ugJ,Change,Change,Change
10,UYBR,'',0,34,37170.16,10296.57,e6CkoqApVR,Kxdu,Change,Change,Change
-0.55388,UYBR,mj86,0,58,111237.2,9850.68,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-30,UYBR,am7c,7,96,92523.2,181664.7,RO12,me75fM6ugJ,Change,Change,Change
34,cJvF,am7c,0,58,-27814,28279.98,RO12,me75fM6ugJ,Change,Change,Stay
-30,UYBR,'',0,26,-383883.2,212589,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,22,130560,257841.6,RO12,me75fM6ugJ,Stay,Change,Change
4,cJvF,'',0,12,-483592,0,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-0.55388,cJvF,'',103.658127,8,-144605.2,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-18,cJvF,am7c,56,56,45160.4,206893.5,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,14,996888,113293.5,RO12,me75fM6ugJ,Change,Change,Change
